종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3050","-110","-3.48","148036758100"
"054620","APS","KOSDAQ","금융","7280","50","0.69","148469928880"
"265520","AP시스템","KOSDAQ","반도체","21700","-300","-1.36","331606835700"
"211270","AP위성","KOSDAQ","통신장비","15830","-220","-1.37","238752872320"
"139050","BF랩스","KOSDAQ","컴퓨터서비스","8360","130","1.58","71433658560"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","4665","-130","-2.71","252065227875"
"013720","CBI","KOSDAQ","운송장비·부품","1641","-14","-0.85","70290902508"
"083790","CG인바이츠","KOSDAQ","기타서비스","3655","0","0.00","281048235210"
"035760","CJ ENM","KOSDAQ","방송서비스","82900","1500","1.84","1817926866600"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","14930","-50","-0.33","136049654860"
"051500","CJ프레시웨이","KOSDAQ","유통","25200","-500","-1.95","299163967200"
"058820","CMG제약","KOSDAQ","제약","2265","20","0.89","314590932660"
"023460","CNH","KOSDAQ","금융","1799","3","0.17","66922800000"
"056730","CNT85","KOSDAQ","건설","1233","-20","-1.60","91379092338"
"065770","CS","KOSDAQ","통신장비","1241","-8","-0.64","24089212330"
"083660","CSA 코스믹","KOSDAQ","화학","1279","20","1.59","78335144499"
"456440","DB금융스팩11호","KOSDAQ","금융","2295","-5","-0.22","12197925000"
"060900","DGP","KOSDAQ","전기·가스·수도","1274","-24","-1.85","32178983746"
"025440","DH오토웨어","KOSDAQ","일반전기전자","2045","-45","-2.15","62947603080"
"068790","DMS","KOSDAQ","기계·장비","6730","-10","-0.15","165376700530"
"241520","DSC인베스트먼트","KOSDAQ","금융","3645","5","0.14","101372563935"
"180400","DXVX","KOSDAQ","기타서비스","4950","170","3.56","149586188400"
"245620","EDGC","KOSDAQ","기타서비스","536","123","29.78","64781251048"
"037370","EG","KOSDAQ","화학","10060","-390","-3.73","86767218320"
"050120","ES큐브","KOSDAQ","유통","2840","-15","-0.53","38522004240"
"214270","FSN","KOSDAQ","출판·매체복제","2760","45","1.66","91771277880"
"130500","GH신소재","KOSDAQ","섬유·의류","2720","-100","-3.55","39562541440"
"900290","GRT","KOSDAQ","금융","3405","0","0.00","229411875000"
"083450","GST","KOSDAQ","반도체","36450","-950","-2.54","339631805250"
"297890","HB솔루션","KOSDAQ","기계·장비","4025","-140","-3.36","294285129950"
"440290","HB인베스트먼트","KOSDAQ","금융","3325","-130","-3.76","89332808250"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2240","-55","-2.40","207683651840"
